Designator,Footprint,Quantity,Value,LCSC Part #
B1,BUZ-SMD_4P-L8.5-W8.5-BR-1,1,SMD-8503-3627-16Ω,C2685545
"C1, C10, C16, C26, C4, C5, C8, C9",0603,8,1u,
"C11, C24, C33, C6",0603,4,10u,
"C12, C13, C17, C18, C19, C20, C21, C25, C27, C28, C29, C30, C31",0402,13,100n,
"C2, C32",0603,2,4.7u,
"C22, C23",0402,2,22p,
"C3, C7",0402,2,10n,
D1,D_SOD-123,1,NRVB230LSFT1G,
D2,0603,1,ORANGE,
D3,D_SOD-523,1,1N4148WT,
"G1, G10, G11, G12, G13, G14, G15, G16, G2, G3, G4, G5, G6, G7, G8, G9",LED-SMD_4P-L1.0-W1.0-TL_XL-1010RGBC-WS2812B,16,XL-1010RGBC-WS2812B,C5349953
J1,SAMESKY_UJ20-C-H-G-SMT-1-P16-TR,1,UJ20-C-H-G-SMT-1-P16-TR,
J2,TE_1-2328702-0,1,1-2328702-0,
L1,1008,1,2.2u,
P1,JST_S2B-PH-SM4-TB,1,S2B-PH-SM4-TB,
Q1,SOT-323_SC-70,1,BC847W,
Q2,SOT-23,1,AO3401A,
"Q3, Q4",SOT-23,2,AO3400A,
"R1, R2",0402,2,5.1k,
"R10, R4",0402,2,100K,
"R11, R12",0402,2,4.7k,
"R13, R14, R16, R17, R18, R19, R24, R26, R8",0402,9,10k,
R15,0402,1,200k,
"R20, R21, R22",0402,3,51.1k,
"R23, R25",0402,2,220,
R27,0402,1,10,
R3,0402,1,453k,
R5,0402,1,27k,
R6,0402,1,499,
"R7, R9",0402,2,1k,
RN1,RESCAXS50P400X160X55-16N,1,YC248-JR-074K7L,
S1,KEY-SMD_TS-1101VS-C-A-A,1,TS-1101VS-C-A-A,
TH1,0402,1,10k NTC,
U1,SOT23-5,1,RT9193-18GB,C27416
U10,SON65P200X200X65-7N,1,OPT3001DNPR,
U11,IC_BNO085,1,BNO085,
U12,MicroCrystal_C7_SON-8_1.5x3.2mm_P0.9mm,1,RV-3028-C7,
U13,ESP32-S3-WROOM-1,1,ESP32-S3-WROOM-1-N16R8,ESP32-S3-WROOM-1-N16R8
U14,LGA-8_L8.0-W6.0-P1.27-TL_ZDSD02GLGEAG,1,ZDSD02GLGEAG,C2875853
U15,Texas_RGY_R-PVQFN-N16_EP2.05x2.55mm,1,TXB0106RGY,
U16,SW-SMD_TM-2025A,1,TM-2025A,C318949
U2,SOT-666,1,USBLC6-2P6,
U3,SOT-23-5,1,TLV62568DBV,
U4,SOT23-5,1,RT9193-28GB,C56731
U5,SON50P200X200X80-9N,1,BQ25170DSGR,
U6,SON50P200X200X80-9N,1,MAX17048G_T10,
U7,Bosch_LGA-8_3x3mm_P0.8mm_ClockwisePinNumbering,1,BME690,
U8,Maxim_OLGA-14_3.3x5.6mm_P0.8mm,1,MAX30102,
U9,VSSOP-8_2.3x2mm_P0.5mm,1,PCA9306,
Y1,Crystal_SMD_3215-2Pin_3.2x1.5mm,1,32.768 kHz,
