Designator,Mid X,Mid Y,Rotation,Layer
B1,125.3,-112.8,315.0,top
C1,183.6,-92.940288,90.0,top
C10,167.9,-102.469,90.0,top
C11,168.9,-99.7,180.0,top
C12,186.6,-99.0,180.0,top
C13,178.1,-100.9,90.0,top
C14,174.7,-106.3,180.0,top
C15,180.7,-105.6,90.0,top
C16,124.2,-86.5,90.0,top
C17,125.9,-87.8,270.0,top
C2,147.065,-111.1,180.0,top
C20,135.665,-108.6,0.0,top
C21,148.265,-104.8,0.0,top
C22,148.265,-106.5,0.0,top
C27,178.05,-88.2,90.0,top
C28,172.65,-88.2,90.0,top
C29,175.6,-96.18,90.0,top
C3,154.0,-109.301757,0.0,top
C30,171.95,-93.0,270.0,top
C4,160.78,-111.85,0.0,top
C5,184.3,-109.2,225.0,top
C6,152.7,-99.68,270.0,top
C7,159.56,-114.25,180.0,top
C8,125.1,-99.9,180.0,top
C9,173.6,-99.4,90.0,top
D1,140.8,-105.7,180.0,top
D2,132.0,-111.0,270.0,top
D5,131.465,-107.1,180.0,top
G1,137.7,-111.9,180.0,top
G2,140.0,-111.9,270.0,top
G3,142.3,-111.9,180.0,top
G4,142.3,-114.2,90.0,top
G5,140.0,-114.2,0.0,top
G6,137.7,-114.2,90.0,top
G7,137.7,-116.5,180.0,top
G8,140.0,-116.5,270.0,top
G9,142.3,-116.5,180.0,top
J1,161.625,-103.6,270.0,top
JP1,137.6,-106.4,0.0,top
JP2,125.105,-97.775,180.0,top
Q1,164.11,-90.9,180.0,top
Q2,146.6,-114.0,0.0,top
Q3,164.6,-95.8,0.0,top
Q4,170.0,-90.9,180.0,top
R1,122.665,-100.5,90.0,top
R10,168.6,-87.97,180.0,top
R11,140.065,-108.8,90.0,top
R12,150.3,-115.0,0.0,top
R13,161.3,-95.15321,180.0,top
R14,167.11,-90.5,270.0,top
R15,169.3,-98.2,180.0,top
R17,176.6,-96.2,90.0,top
R2,134.9,-105.9,0.0,top
R3,125.9,-94.3,270.0,top
R4,160.61,-90.47,270.0,top
R5,162.61,-87.97,180.0,top
R6,165.28,-114.45,180.0,top
R8,146.565,-108.5,90.0,top
R9,116.765,-109.5,180.0,top
RN1,173.8,-112.225,180.0,top
S1,132.214911,-119.323527,180.0,top
TH1,141.265,-108.8,270.0,top
U1,136.615,-91.36,0.0,top
U10,176.35,-92.7625,0.0,top
U11,117.564993,-102.880112,270.0,top
U12,186.6,-101.6,270.0,top
U13,178.1,-105.0,270.0,top
U14,153.913189,-91.2476,180.0,top
U15,124.8,-102.7,90.0,top
U2,152.875,-111.2,270.0,top
U3,162.48,-114.2,0.0,top
U4,150.165,-98.7,0.0,top
U5,185.5,-112.1,135.0,top
U6,186.2,-92.8675,90.0,top
U7,117.6,-116.5,135.0,top
U8,143.665,-108.1,0.0,top
U9,171.0,-102.4,180.0,top
Y2,175.35,-88.7,180.0,top
